Date,Venue,City,Region,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,Holdings 2,URL [primary source],URL [catalog]
1885-03-16T03:30,Chickering Hall,New York,New York,"Henselt, Adolf von","""Si oiseau j'etais""","Si Oiseau j'Etais - 12 Études caractéristiques de Concert, Op. 2",Mr. Frederic Archer's Sixth Series of Monday Organ Matinees,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1885-03-16T03:30,Chickering Hall,New York,New York,"Rubinstein, Anton",Grande Etude in C major,"6 Etudes, Op. 23, No. 2",Mr. Frederic Archer's Sixth Series of Monday Organ Matinees,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Beethoven, Ludwig van",Sonata Appasionata Op. 57,"Piano Sonata No. 23, Op. 57",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Chopin, Fryderyk",Prelude in Db,"Prelude, Op. 28 No. 15",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Chopin, Fryderyk",Polonaise in C Sharp Minor,"Polonaise, Op. 26 No. 1",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Chopin, Fryderyk","Ballade, in Ab","Ballade in A-flat Major, Op. 47",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"MacDowell, Edward",Modern Suite,Suite Moderne,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Schubert, Franz",Impromptu,Impromptu,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Hiller, Ferdinand",Zur Guitarre,"Zur Guitarre, Op. 97",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Schubert, Franz / Liszt, Franz",Soiree de Vienne (Valse),"Soirées de Vienne, S.427",,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Mendelssohn, Felix",Prelude and Fugue,Prelude and Fugue,,Opus/number not identified,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Schumann, Robert",Des Abends,"Des Abends - Fantasiestücke, Op. 12",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Dulcken, Ferdinand Quentin",Minuetto,"Minuet de Bocherini, Op. 107",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-23T00:00,Wheeler's Opera House,Toledo,Ohio,"Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise No. 6, S.244/6",,,,,"Archivo Histórico de Teresa Carreño, Caracas",,,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"Beethoven, Ludwig van","Sonata Appassionata, Op. 57","Piano Sonata No. 23, Op. 57",University Musical Society,,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"Chopin, Fryderyk",Prelude in Db,"Prelude, Op. 28 No. 15",University Musical Society,,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"Chopin, Fryderyk",Ballade in Ab,"Ballade in A-flat Major, Op. 47",University Musical Society,,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"MacDowell, Edward",Modern Suite,Suite Moderne,University Musical Society,Opus/number not identified,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"Schubert, Franz",Impromptu,Impromptu,University Musical Society,Opus/number not identified,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
1885-04-25T08:00,University Hall,Ann Arbor,Michigan,"Hiller, Ferdinand",Zur Guitarre,"Zur Guitarre, Op. 97",University Musical Society,,,,Ann Arbor District Library: UMS Concert Season VI (1884-1885); Programs_18850425,,http://ums.aadl.org/ums/programs_18850425,
